Day,randomization.probability.control,randomization.probability.intervention1,randomization.probability.intervention2,randomization.probability.intervention3,randomization.probability.intervention3
103,0.2,0.2,0.2,0.2,0.2
104,0.2,0.2,0.2,0.2,0.2
105,0.2,0.2,0.2,0.2,0.2
106,0.2,0.2,0.2,0.2,0.2
107,0.2,0.2,0.2,0.2,0.2
108,0.2,0.2,0.2,0.2,0.2
109,0.2,0.2,0.2,0.2,0.2
110,0.2,0.2,0.2,0.2,0.2
111,0.2,0.2,0.2,0.2,0.2
112,0.2,0.2,0.2,0.2,0.2
113,0.2,0.2,0.2,0.2,0.2
114,0.2,0.2,0.2,0.2,0.2
115,0.2,0.2,0.2,0.2,0.2
116,0.2,0.2,0.2,0.2,0.2
117,0.2,0.2,0.2,0.2,0.2
118,0.2,0.2,0.2,0.2,0.2
119,0.2,0.2,0.2,0.2,0.2
120,0.2,0.2,0.2,0.2,0.2
121,0.2,0.2,0.2,0.2,0.2
122,0.2,0.2,0.2,0.2,0.2
123,0.2,0.2,0.2,0.2,0.2
124,0.2,0.2,0.2,0.2,0.2
125,0.2,0.2,0.2,0.2,0.2
126,0.2,0.2,0.2,0.2,0.2
127,0.2,0.2,0.2,0.2,0.2
128,0.2,0.2,0.2,0.2,0.2
129,0.2,0.2,0.2,0.2,0.2
130,0.2,0.2,0.2,0.2,0.2
131,0.2,0.2,0.2,0.2,0.2
132,0.2,0.2,0.2,0.2,0.2
133,0.2,0.2,0.2,0.2,0.2
134,0.2,0.2,0.2,0.2,0.2
135,0.2,0.2,0.2,0.2,0.2
136,0.2,0.2,0.2,0.2,0.2
137,0.2,0.2,0.2,0.2,0.2
138,0.2,0.2,0.2,0.2,0.2
139,0.2,0.2,0.2,0.2,0.2
140,0.2,0.2,0.2,0.2,0.2
141,0.2,0.2,0.2,0.2,0.2
142,0.2,0.2,0.2,0.2,0.2
143,0.2,0.2,0.2,0.2,0.2
144,0.2,0.2,0.2,0.2,0.2
145,0.2,0.2,0.2,0.2,0.2
146,0.2,0.2,0.2,0.2,0.2
147,0.2,0.2,0.2,0.2,0.2
148,0.2,0.2,0.2,0.2,0.2
149,0.2,0.2,0.2,0.2,0.2
150,0.2,0.2,0.2,0.2,0.2
151,0.2,0.2,0.2,0.2,0.2
152,0.2,0.2,0.2,0.2,0.2
153,0.2,0.2,0.2,0.2,0.2
154,0.2,0.2,0.2,0.2,0.2
155,0.2,0.2,0.2,0.2,0.2
156,0.2,0.2,0.2,0.2,0.2
157,0.2,0.2,0.2,0.2,0.2
158,0.2,0.2,0.2,0.2,0.2
159,0.2,0.2,0.2,0.2,0.2
160,0.2,0.2,0.2,0.2,0.2
161,0.2,0.2,0.2,0.2,0.2
162,0.2,0.2,0.2,0.2,0.2
163,0.2,0.2,0.2,0.2,0.2
164,0.2,0.2,0.2,0.2,0.2
165,0.2,0.2,0.2,0.2,0.2
166,0.2,0.2,0.2,0.2,0.2
167,0.2,0.2,0.2,0.2,0.2
168,0.2,0.2,0.2,0.2,0.2
169,0.2,0.2,0.2,0.2,0.2
170,0.2,0.2,0.2,0.2,0.2
171,0.2,0.2,0.2,0.2,0.2
172,0.2,0.2,0.2,0.2,0.2
173,0.2,0.2,0.2,0.2,0.2
174,0.2,0.2,0.2,0.2,0.2
175,0.2,0.2,0.2,0.2,0.2
176,0.2,0.2,0.2,0.2,0.2
177,0.2,0.2,0.2,0.2,0.2
178,0.2,0.2,0.2,0.2,0.2
179,0.2,0.2,0.2,0.2,0.2
180,0.2,0.2,0.2,0.2,0.2
